question,context,answers,answer_sentence,topic,reference,id
"regarding the step relationships in primary dentition, what is likely to be the molar relationship in permanent dentition in subjects with a distal step?","the terminal plane relationship of the second primary molars can be described as: flush, occurring in 29.4% of the individuals; mesial step, occurring in 61.1%; and distal step, occurring in 9.5% of the individuals. at the time of eruption of the permanent first molars, their initial occlusion is dependent on the terminal plane relationship of the primary second molars. therefore, in about 30% of the population the first molars will erupt into a cusp-to-cusp relationship (ie, with the mesiobuccal cusp of the maxillary first permanent molar anterior to the buccal groove of the mandibular first permanent molar). the findings from the study further indicated that, if the initial occlusion in the permanent dentition has a distal step, the molar relationship in the permanent dentition develops into a class ii. this provides credence to a frequently repeated axiom: once a class ii, always a class ii . since the disto-occlusion in the primary or mixed dentitions will not self-correct with growth, cases with distal steps in the primary dentition should be observed on a regular basis and treatment started as soon as the clinician and the patient are ready. individuals with a flush terminal plane relationship present a more challenging diagnostic question. of these cases, 56% became class i and 44% became class ii in the permanent dentition. in other words, slightly less than half of these cases will progress to a class ii or end-to-end occlusion.48 these findings imply that what was previously considered as normal occlusion in the primary or mixed dentitions, in reality, does not often result in a normal occlusion in the permanent dentition. therefore, it is important for the clinician to closely observe these cases and to initiate treatment when needed at the appropriate time. in the 56.4% of individuals with a flush terminal plane, placing a lower lingual holding arch to maintain space may have an adverse effect on the developing dentition (ie, it may prevent more cases with a flush terminal plane from becoming class i). this is important to remember because orthodontists, pediatric dentists, and general dentists often consider placing a lower lingual arch as a preventive or interceptive but noninvasive procedure. one can readily imagine how maintaining arch length and preventing the mesial drift of the mandibular permanent molars, can adversely affect the changes in the molar relationship from the mixed to the permanent dentitions. as a result, in cases with an end to end molar relationship in which a lingual arch is placed, the clinician should consider using headgear or other appliances to obtain a class i occlusion. the parents should be made aware of such a possibility beforehand. of the cases with a 1 mm mesial step, 76% became class i, 23% became class ii, and 1% became class iii. in cases with a mesial step of 2 mm or more in the primary dentition, 68% became class i, 13% became class ii, and 19% became class iii. these findings indicated that the greater the mesial step, the greater the probability for the molar relationship to develop into a class i occlusion.","{'answer_start': [741], 'text': ['the molar relationship in the permanent dentition develops into a class ii']}",,growth,"{'authors': ['Samir E. Bishara, BDS, DDS, D Ortho, MS'], 'doi': 'https://doi.org/10.1043/0003-3219(2000)070<0471:FADCIA>2.0.CO;2', 'meta': 'Angle Orthod (2000) 70 (6): 471–483.', 'title': 'Facial and Dental Changes in Adolescents and Their Clinical Implications'}",83c30d23-f661-4322-aa16-004aaa4de9a1
"regarding rapid maxillary expansion, what was the impression of patients regarding their nasal breathing after the therapy?","derichsweiler claimed an increase in nasal width, lowering of the palatal vault, and straightening of the nasal septum as suture opening allowed many mouth-breathers to adapt to the use of the nasal passages for respiration. his histologic examination of extracted human teeth following suture opening revealed no degenerate changes in the periodontal ligament. martenson claimed that the course of nasally inspired air was upward into the middle and superior meatus and then downward through the posterior choanae with air not usually passing through the inferior meatus. increase in apical base measurements from dental casts were reported by gerlach. regarding nasal stenosis, he thought palatal suture opening could have much therapeutic value; however, not every mouth breathing habit can be cured thereby. using metallic implants, krebs demonstrated rotation of the maxillary components in the frontal and sagittal planes with a nasal cavity width gain of 2.5 mm that narrowed to 2.0 mm during two months and nine days of retention. haas, reporting on a clinical study in 1961, stated that patients notice slight to marked improvement in nasal respiration depending on the severity of nasal stenosis at the start of therapy. he recorded stable increases in nasal width from 2 to 4.5 millimeters as judged from frontal cephalograms.","{'answer_start': [1096], 'text': ['patients notice slight to marked improvement in nasal respiration']}",,clinical,"{'authors': ['Robert A. Wertz, D.D.S., M.S.'], 'doi': 'https://doi.org/10.1043/0003-3219(1968)038<0001:CINAIT>2.0.CO;2', 'meta': 'Angle Orthod (1968) 38 (1): 1–11.', 'title': 'Changes in Nasal Airflow Incident to Rapid Maxillary Expansion'}",335390cb-a4a3-45f7-a26a-0cd2a6a3bbf1
"in patients who have received rapid maxillary expansion (rme), what is the effect of rme treatment on breathing patterns?","the immediate and long-term effects of rme over the upper airway have been shown in previous studies. the literature shows that patients presenting with maxillary constriction tend to have a higher nasal airway resistance. the present study does not show a difference in nasal air passage volume at t0, but this may be due to the fact that patients with clinically normal respiratory functions for selected for both groups. the maxilla forms most of the lateral walls of the nasal cavity; therefore, an increase in volume in the nasal cavity would be an expected rme effect. the series of events that cause this phenomenon is mainly the triangular or parallel opening of the median palatal suture, which increases the width of the nasal floor and results in an increased volume of the nasal cavity. the present study shows a twofold increase in the np volume after rme. this finding suggests that rme may be able to improve the breathing pattern by reducing nasal resistance, but further studies are needed to confirm such anatomical and functional correlations. farronato et al. reported that the mandibular position changes in various directions when rme is applied to patients with different malocclusions. these differences in mandibular position may affect the op airway size, shape, and volume. the present study did not find significant changes in mandibular position between the rme and control groups. zhao et al. assessed the changes of the op airway on 24 patients with maxillary constriction treated with rme and compared them to 24 age- and sex-matched patients and found no significant increase. they concluded that rme would not enlarge op airway volume. malko et al. evaluated the effects of mandibular symphyseal distraction osteogenesis followed by rme on pharyngeal size and concluded that rme did not significantly affect the pharyngeal dimensions. the present study confirms such findings and also found no effect on pharyngeal airway when using rme.","{'answer_start': [897], 'text': ['rme may be able to improve the breathing pattern by reducing nasal resistance']}",,clinical,"{'authors': ['Hakan El', 'Juan Martin Palomo'], 'doi': 'https://doi.org/10.2319/012313-71.1', 'meta': 'Angle Orthod (2014) 84 (2): 265–273.', 'title': 'Three-dimensional evaluation of upper airway following rapid maxillary expansion: A CBCT study'}",1ee34915-fca7-42c5-aa9b-24b3b0f657d8
"in patients affected by transient bacteremia, which cardiac conditions places patients at risk of infective endocarditis?","a transient bacteremia may follow various dental manipulations including dental prophylactic procedures. this bacteremia places patients with predisposing cardiac conditions at risk for infective endocarditis. these predisposing cardiac conditions include most congenital cardiac malformations, previous infective endocarditis, rheumatic and other acquired valvular dysfunctions, hypertrophic cardiomyopathy, mitral valve prolapse with valvular regurgitation, prosthetic cardiac valves, and surgically constructed systemic-pulmonary shunts. the incidence of bacteremia has been reported for dental procedures such as extraction, root scaling, endodontic treatment, and toothbrushing. bacteremia following orthodontic procedures has been investigated in only a few studies. degling found no microorganisms in the blood stream after orthodontic banding and debanding in 10 patients. in a study of 30 volunteers, mclaughlin et al reported a bacteremia incidence of 10% after banding. a recent study conducted on 40 orthodontic patients found a 7.5% incidence of bacteremia following banding. most orthodontic patients are not able to perform effective plaque control and therefore develop mild to moderate gingivitis during treatment with fixed appliances. as a result of plaque accumulation and subsequent gingivitis, one would expect a higher incidence of bacteremia after debanding procedures compared with banding procedures. the 1997 american heart association guidelines state that endocarditis prophylaxis is recommended for the initial placement of orthodontic bands but not brackets. however, 2 earlier surveys of american and british orthodontists have shown that, while many orthodontists prescribed antibiotics before banding and debanding at-risk patients, a significant portion of orthodontists did not think antibiotic therapy was necessary. this variation in the handling of at-risk patients may be due to lack of data confirming the need for antibiotic prophylaxis before banding and debanding. more studies are needed to clarify this critical issue. this study investigates the incidence of bacteremia after removal of bands and brackets.","{'answer_start': [256], 'text': ['most congenital cardiac malformations, previous infective endocarditis, rheumatic and other acquired valvular dysfunctions, hypertrophic cardiomyopathy, mitral valve prolapse with valvular regurgitation, prosthetic cardiac valves, and surgically constructed systemic-pulmonary shunts']}",,pathology,"{'authors': ['Nejat Erverdi, DDS, PhD', 'Sibel Biren, DDS, PhD', 'Tanju Kadir, PhD', 'Ahu Acar, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(2000)070<0011:IOBFOD>2.0.CO;2', 'meta': 'Angle Orthod (2000) 70 (1): 11–14.', 'title': 'Investigation of Bacteremia Following Orthodontic Debanding'}",11112b9c-667e-48c5-b453-ab00ddf9a36d
"regarding orthodontic retention, what are the disadvantages of vacuum-formed retainers?","it has been shown by a number of long-term studies that following a course of orthodontic treatment, relapse occurs in approximately 70% of cases. some of this will be due to orthodontic relapse, and some will be due to normal changes with time, such as continued facial growth. the problem for the orthodontist is that not only is it impossible to predict which cases will undergo relapse, but it is also impossible to predict the degree to which this will occur. relapse is unrelated to factors such as original incisor or molar classification, extractions, or the degree of tooth movement. not only is it difficult to predict which cases will require retention, but there is also currently no consensus on the amount or duration of retainer wear or indeed which type of retainer to use. patients can be provided with either fixed or removable appliances, and various studies have investigated the effectiveness of each. a recent investigation found multistrand bonded retainers to be more effective in maintaining tooth position than single-strand wires. a separate study investigating the effectiveness of bonded multistrand lingual retainers found them to be no more effective in retaining tooth position than a removable hawley-type retainer. in recent years, vacuum-formed retainers have become increasingly popular and for a number of reasons, but principally due to ease fabrication, improved esthetics, and reduced cost. purported disadvantages of vacuum-formed retainers include occlusal wear of the appliance with subsequent cracking in the longer term, along with reduced vertical settling. in terms of their effectiveness, a previous randomized controlled trial found vacuum-formed retainers to be as effective as hawley retainers in maintaining incisor alignment, although it has been suggested that they are not able to maintain arch expansion as well as a hawley. the aim of the current study was to compare the effectiveness of vacuum-formed and hawley retainers in maintaining arch width as well as incisor alignment.","{'answer_start': [1490], 'text': ['occlusal wear of the appliance with subsequent cracking in the longer term, along with reduced vertical settling']}",,clinical,"{'authors': ['Stephen Barlin', 'Roland Smith', 'Ray Reed', 'Jonathan Sandy', 'Anthony John Ireland'], 'doi': 'https://doi.org/10.2319/072610-437.1', 'meta': 'Angle Orthod (2011) 81 (3): 404–409.', 'title': 'A retrospective randomized double-blind comparison study of the effectiveness of Hawley vs vacuum-formed retainers'}",1be4a5bd-8c6a-44db-9cb9-4e918d7c37c8
"regarding craniofacial embryogenesis, when is the tuburculum impar most prominent?","the complex musculature of the infant tongue may be best understood by examining the development of this unique organ (fig. 1). the oral cavity is formed in the human embryo at the 3.5 mm stage by an invagination of on the ventral surface of the newly formed oral cavity are two raised mounds of tissue referred to as the primordial tongue. these ventral thickenings arise from the area of the first and second branchial arches. at this early stage the tissue underlying the epithelium is composed of primitive stellate mesenchymal cells with a delicate fibrous stroma; no muscle differentiation has occurred. the tongues subsequent growth is characterized by proliferation, migration, fusion. the tuberculum impar, prominent during early embryogenesis, is soon obscured by the developing lateral halves, as depicted in the diagram. the tongue mucosa is derived from two different germ layers, ectoderm anteriorly, and foregut entoderm around the terminal sulcus posteriorly.","{'answer_start': [726], 'text': ['during early embryogenesis']}",,growth,"{'authors': ['WILLIAM A. BELL, D.D.S.'], 'doi': 'https://doi.org/10.1043/0003-3219(1970)040<0262:MPOTLF>2.0.CO;2', 'meta': 'Angle Orthod (1970) 40 (3): 262–265.', 'title': 'Muscle Patterns of the Late Fetal Tongue Tip'}",761437aa-e0dc-4ad1-9eef-c83384ff3df1
"in class ii patients, how does the bionator improve the maxillomandibular relationship?","lateral cephalograms have become one of the major diagnostic tools in the study of facial growth changes and modifications induced by orthodontic/orthopedic treatment. conventional cephalometrics enables identification of skeletal, dental, and soft tissue problems in patients with malocclusions in addition to being still widely employed to evaluate angular and linear measures. although conventional cephalometric analysis (cca) is individualized, it does not always prove effective in determining accurately the location and mode in which changes in shape and size occur within the craniofacial complex. thus, cca has no theoretical foundation, but it is rather governed by conventions involving points and planes, which fail to capture curvilinear forms and changes in these forms. as science evolved, geometric morphometrics emerged as an alternative method to address these issues and eventually overcome the difficulties posed by cca. one such alternative is thin-plate spline (tps) analysis that assesses spatial changes in the shape of complex skeletal structures, affording reliable graphic and mathematical representations. tps does not require any reference or superimposition planes. this morphometric analysis quantitatively evaluates changes in shape, expressing the differences between the configurations of two reference points as a continuous deformation. it also allows the construction of transformation grids that capture differences in form, enabling a more effective visual interpretation. thus, tps allows precise viewing of the set of changes occurring in facial skeletal structures. these morphometric methods can shed light on the skeletal effects arising from the use of orthopedic appliances in the treatment of malocclusions. among different therapies available to treat class ii malocclusion, the balters bionator is a functional appliance designed and introduced by wilhelm balters in the 1960s. the bionator moves the mandible anteriorly so that over time a new postural position of the lower arch is achieved, improving the maxillomandibular relationship. while short-term and long-term effects of the bionator appliance on class ii division 1 malocclusion have been previously investigated, the cca methods used in those studies do now allow understanding of the changes in mandibular morphology (shape) that occur with bionator therapy. the aim of this study, therefore, was to investigate the effects of the standard (class ii) balters bionator in the treatment of patients with class ii malocclusion with mandibular retrusion using tps analysis.","{'answer_start': [1941], 'text': ['moves the mandible anteriorly so that over time a new postural position of the lower arch is achieved']}",,clinical,"{'authors': ['Carina Ferlin Antunes', 'Renato Bigliazzi', 'Francisco Antonio Bertoz', 'Cristina Lúcia Feijó Ortolani', 'Lorenzo Franchi', 'Kurt Faltin, Jr.'], 'doi': 'https://doi.org/10.2319/072512-605.1', 'meta': 'Angle Orthod (2013) 83 (3): 455–459.', 'title': 'Morphometric analysis of treatment effects of the Balters bionator in growing Class II patients'}",43bab3ad-e497-4276-baa9-d62baf3a60a5
"regarding smile esthetics, how should the gingival margins of the maxillary lateral incisor be positioned relative to gingival margins of the maxillary canines?","indications for orthodontic space closure in patients with missing central incisors and the proposed treatment alternatives have been discussed in some previous studies. the applicability of moving maxillary incisors through the midline was sometimes questioned. concerns were expressed regarding the treatment complexity, the risk for space reopening, the quality of the esthetic results, and, mainly, the difficulty of tooth movement across the midpalatal suture. the present results indicated that anterior space closure by moving the contralateral maxillary incisor is challenging and time-consuming. when a maxillary lateral incisor substitutes a missing central incisor, several important steps will ensure an esthetic result. first, the gingival margins of the teeth must be properly positioned. the gingival margin of the central incisors should match the level of the maxillary canines, and the gingival margin of the lateral incisors should be positioned slightly coronally. to reach this morphology, the substituting lateral incisor must be significantly intruded so that its gingival margin matches the adjacent central incisor. the gingival levels over the two central incisors should be at the same height for a satisfactory esthetic result. the maxillary canine that will replace the lateral incisor should be extruded to move its gingival margin incisally to resemble the usual gingival margin position of the lateral incisor. in addition, by intruding the substituting lateral incisor, the restoration of this tooth into the shape of a central incisor is simplified. when the lateral incisor is restored to simulate a central incisor, it is difficult to create an ideal crown form because the mesial and distal surfaces of the crown must be overcontoured because of the narrower cervical region of the lateral incisor. besides establishing an adequate crown length, intrusion of the lateral incisor allows that the proximal surfaces of the crown can be tapered gradually from the cervical margin to the incisal edge. in this case report, the right lateral incisor was intruded using wire bends during orthodontic finishing. however, an initial individualized bonding placing the bracket of the right lateral incisor closer to the incisal edge would be a better and more efficient choice. gingivectomy cannot be performed after orthodontic treatment in these cases once the gingival sulcus of the lateral incisor shows a normal depth.","{'answer_start': [944], 'text': ['should be positioned slightly coronally']}",,clinical,"{'authors': ['Daniela Gamba Garib', 'Guilherme Janson', 'Patrícia Bittencourt Dutra dos Santos', 'Taiana de Oliveira Baldo', 'Gabriela Ulian de Oliveira', 'Sérgio Kiyoshi Ishikiriama'], 'doi': 'https://doi.org/10.2319/022111-125.1', 'meta': 'Angle Orthod (2012) 82 (2): 370–379.', 'title': 'Orthodontic movement of a maxillary incisor through the midpalatal suture: A case report'}",31eb385c-3ae2-4e25-ba9e-f3a4ef137a8a
"in growing class ii patients with mandibular retrusion, when is the optimal time for twin block therapy?","in recent times, the analysis of the effectiveness of the bionator appliance when compared with the twin-block is becoming the most popular alternative clinical option for functional treatment of class-ii malocclusion. the most favorable time period to start treatment with the twin-block is during or slightly after the peak in mandibular growth. the short-term supplementary mandibular increment that can be obtained with the twin-block at puberty is approximately 4.7 mm/y. a similar amount of additional mandibular growth when compared with untreated subjects is found in patients treated with the bionator appliance at the pubertal growth spurt. however, in bionator therapy this clinical result is achieved in a two-year time interval, which is twice the duration of the interval for active twin-block therapy. regardless of the differences in both the mode of action and the clinical management of the two functional appliances, both the bionator and the twin-block are effective therapeutic means for class-ii treatment associated with mandibular deficiency. nevertheless, the twin-block appears to be more efficient in terms of a shorter duration of treatment time interval (on average 14 months vs 22 months for the bionator appliance). data regarding the long-term outcomes of twin-block therapy are needed for a definitive appraisal of the stability of the very favorable short-term dentoskeletal changes. posttreatment stability appears to be a feature of bionator therapy followed by fixed appliances to refine occlusion, both in prepubertal and pubertal patients. none of the skeletal parameters exhibited any relapse after active therapy in the present study. this finding is evident particularly in the ltg, which still showed small favorable changes even during the retention period.","{'answer_start': [292], 'text': ['during or slightly after the peak']}",,clinical,"{'authors': ['Kurt Faltin, Jr, DDS, PhD', 'Rolf M. Faltin, DDS, MSc, PhD', 'Tiziano Baccetti, DDS, PhD', 'Lorenzo Franchi, DDS, PhD', 'Bruno Ghiozzi, DDS', 'James A. McNamara, Jr, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(2003)073<0221:LEATTF>2.0.CO;2', 'meta': 'Angle Orthod (2003) 73 (3): 221–230.', 'title': 'Long-term Effectiveness and Treatment Timing for Bionator Therapy'}",5ca360e3-c9c8-468f-8623-8f7a14607595
"regarding the mechanical properties of orthodontic wires, which factors influence wire stiffness?","unloading curves were nonlinear for many of the multistrand stainless steel and for all the nickel-titanium wires. it was not possible to define a single value of stiffness or slope of the bending plot for these wires. these results have supported the use of the polynomial regression method used in this investigation to determine the stiffnesses of these wire samples over a range of deflections. this methodology allows the evaluation of the instantaneous stiffness in standard mechanical tests and for orthodontic appliance systems. the results of this investigation have shown that wire stiffness can be altered not only by size but also by varying the number of strands and the alloy composition of the wire. this supports the concept of variable modulus orthodontics, which suggests changing stiffness by changing the elastic modulus rather than changing the wire size. the stiffnesses noted at different deflections for the multistrand stainless steel wires were variable in contrast to the constant stiffnesses recorded for the single-strand stainsteel wires. wire selections in clinical practice should include considerations of the alloy type, wire cross-section, and number of strands. all three factors are found to have a profound influence on wire stiffness.","{'answer_start': [587], 'text': ['wire stiffness can be altered not only by size but also by varying the number of strands and the alloy composition of the wire']}",,materials,"{'authors': ['Jay M. Oltjen, DDS, MS', 'Manville G. Duncanson, Jr., DDS, PhD', 'Joydeep Ghosh, DDS, MS', 'Ram S. Nanda, DDS, MS', 'G. Frans Currier, DDS, MSD, M.Ed'], 'doi': 'https://doi.org/10.1043/0003-3219(1997)067<0209:SDBOSO>2.3.CO;2', 'meta': 'Angle Orthod (1997) 67 (3): 209–218.', 'title': 'Stiffness-deflection behavior of selected orthodontic wires'}",e6d1d55e-ce7a-4a62-a1bb-0838beb2ecd7
"in brazilian adolescent, what is the prevalence of handicapping malocclusion?","objective: to investigate the association between malocclusion/dentofacial anomalies and traumatic dental injuries (tdi) in adolescents. materials and methods: the sample of this cross-sectional study comprised 509 adolescents aged 11 to 14 years enrolled at public schools in the city of os rio, southern brazil. parents answered a structured questionnaire addressing demographic and socioeconomic characteristics. an examiner who had undergone a training and calibration exercise recorded malocclusion/dentofacial anomalies (dental aesthetic index, dai), tdi (andreasen), and dental caries (world health organisation). statistical analyses (spss software) involved poisson regression with robust variance. results: the prevalence of tdi was 11.6%, and the prevalence of defined, severe, and handicapping malocclusion was 24.0%, 21.6%, and 22.0%, respectively. the multivariate analysis demonstrated that the probability of tdi was approximately twofold higher among adolescents with severe malocclusion (prevalence ratio [pr] 2.22; 95% confidence interval [ci] 1.14 4.31) and handicapping malocclusion (pr 1.95; 95% ci 1.01 3.85) in comparison to those with normal occlusion or minor malocclusion. defined malocclusion was not significantly associated with the outcome. among the dentofacial anomalies evaluated, the probability of tdi was nearly twofold higher among adolescents with overjet greater than 3 mm (pr 1.96; 95% ci 1.14 3.37) and 2.2-fold higher among those with an abnormal molar relationship (pr 2.24; 95% ci 1.17 4.32), after controlling for confounding variables. conclusions: severe and handicapping malocclusion, accentuated overjet, and abnormal molar relationship were strongly associated with the occurrence of tdi. future studies should investigate whether the treatment of these conditions can help reduce the occurrence of tdi in adolescents.","{'answer_start': [841], 'text': ['22.0%']}",,clinical,"{'authors': ['Paulo Floriani Kramer', 'Luciana M. Pereira', 'Mariana Cezar Ilha', 'Tássia Silvana Borges', 'Maria Perpétua Mota Freitas', 'Carlos Alberto Feldens'], 'doi': 'https://doi.org/10.2319/041417-258.1', 'meta': 'Angle Orthod (2017) 87 (6): 816–823.', 'title': 'Exploring the impact of malocclusion and dentofacial anomalies on the occurrence of traumatic dental injuries in adolescents'}",eb83f281-8665-4011-9159-a9e9ad805c09
"regarding the growth of the craniofacial complex, how are facial bones formed?","because chronological age is not a valid predictor of skeletal growth velocity or skeletal maturity, conventionally, hand-wrist radiographs have been used to determine skeletal maturation. validity of skeletal maturity assessment using the hand-wrist radiograph in relation to the standing height (body skeletal growth velocity) has been well established for several racial groups. although moore pointed out that most of the bones of the body are preformed in cartilage and later developed by endochondral ossification, the facial bones are formed by intramembranous ossification without cartilaginous precursors. therefore, growth of the face may be regulated by factors other than those responsible for growth of the long bones. furthermore, the craniofacial structures include several functional regions that may have different growth responses to systemic and local environmental conditions. recently, the use of cervical vertebrae maturation has been suggested as a valid replacement to the hand-wrist evaluation. the main advantage of the cervical vertebrae maturation evaluation is that it can be obtained from a conventional lateral cephalogram, which would avoid an extra radiation exposure for the patients. the results of this study suggested that although the correlation values between both methods were high (0.72), they could only predict around 50% of the other method's skeletal maturation determination. previous research found that correlation values between skeletal maturation determined from hand-wrist radiographs and cervical vertebrae evaluation were quite variable (from 0.45 to 0.97) (table 4). differences between the results of this study and the reported comparison studies can be expected on the basis of the factors such as sample size, sex, or specific methods used.","{'answer_start': [549], 'text': ['by intramembranous ossification without cartilaginous precursors']}",,growth,"{'authors': ['Carlos Flores-Mir', 'Corr A. Burgess', 'Mitchell Champney', 'Robert J. Jensen', 'Micheal R. Pitcher', 'Paul W. Major'], 'doi': 'https://doi.org/10.1043/0003-3219(2006)076[0001:COSMSD]2.0.CO;2', 'meta': 'Angle Orthod (2006) 76 (1): 1–5.', 'title': 'Correlation of Skeletal Maturation Stages Determined by Cervical Vertebrae and Hand-wrist Evaluations'}",be0c8ea7-a04e-4f05-9352-c1b7ec1b4357
"regarding biomechanics of orthodontic tooth movement, what forces are required to achieve pure translation?","pure rotation or tipping occurs when the center of rotation and center of resistance are at the same point. pure translation occurs when the center of rotation is at infinity. pure rotation requires a couple or two opposite and equal forces. pure translation requires a single force acting through the center of resistance or a single force not through the center of resistance but with a properly balanced couple. a single force not acting through the center of resistance and without a couple creates translation and rotation. the center of resistance translates but, in addition, the body will rotate about the center of resistance. there also occurs an instantaneous center of rotation for the system somewhere between infinity and the center of resistance. this center of rotation is related to the perpendicular distance between the force vector and the center resistance. the framework of the attachment mechanism can be adjusted by extension arms so that when the force is applied, it, in effect, will be traveling through the center of resistance or at any distance from it that is desired. the facebow is a good example of this method. while the framework of the facebow may take on many designs and points of attachment to the tooth, the effect on the dental unit is ultimately only related to the shortest perpendicular distance between the force vector and the center of resistance. 1 1 fundamental physics teaches that the shortest perpendicular distance between a force vector and the center of resistance of a body determines the center of rotation. figure 5 illustrates these principles as they apply to headgear systems. regardless of the design of the facebow or j hook, the body (tooth) reacts to the force system of the headgear that is computed by figuring the shortest perpendicular distance from the force vector to the center of resistance. this distance dictates how the tooth moves and, more specifically, where the instantaneous center of rotation will be (fig. 6).","{'answer_start': [268], 'text': ['a single force acting through the center of resistance or a single force not through the center of resistance but with a properly balanced couple']}",,biomechanics,"{'authors': ['FRANK W. WORMS, D.D.S., M.S.D.', 'ROBERT J. ISAACSON, D.D.S., Ph.D.', 'T. MICHAEL SPEIDEL, D.D.S., M.S.D.'], 'doi': 'https://doi.org/10.1043/0003-3219(1973)043<0384:ACACOC>2.0.CO;2', 'meta': 'Angle Orthod (1973) 43 (4): 384–401.', 'title': 'A Concept and Classification of Centers of Rotation and Extraoral Force Systems'}",87cadf54-4491-4b01-b8da-c2b2c125e78d
"in patient which have received lip bumper therapy, where is the greatest overall change arch width increase?","during lip bumper treatment (t1-t2), the arch width significantly increased for all measurements (figure 1). the greatest change was observed in the first premolars, with a 4.48 mm increase, and the least in the canines, with a 2.15 mm increase. the majority of all the increase in arch width occurred from t1 to t2. during fixed appliance therapy following the lip bumper (t2-t3), statistically insignificant increases or decreases in arch width occurred for all teeth. the increase in arch width was greatest for the first premolars (4.61 mm) and least for the canines (2.20 mm). during posttreatment (t3-t4), the mean arch width decreased for all teeth. the decreases for the canines and first molars were statistically insignificant, whereas the decreases for the first and second premolars were significant. the overall changes (t1-t4) in arch width were significant for all measurements. the canines showed the smallest increase (1.78 mm) and the first premolars the largest (3.39 mm). significant changes in the irregularity index were observed for all time periods (figure 2). during lip bumper treatment (t1-t2), the irregularity decreased, and during fixed treatment (t2-t3), it decreased again for a total of 3.73 mm. after the active treatment (t3-t4), the irregularity index increased 0.76 mm. thus, the overall change in the irregularity index (t1-t4) was a decrease of 2.97 mm. during lip bumper treatment (t1-t2), arch length significantly increased (figure 3). however, during fixed appliance therapy (t2-t3), much of this increase was lost. during posttreatment (t3-t4), the arch length continued to decrease significantly (1.23 mm). the overall (t1-t4) change in arch length was 0.89 mm. during lip bumper treatment (t1-t2), arch depth significantly increased (figure 3). however, during fixed appliance therapy (t2-t3), much of this increase was lost. during posttreatment (t3-t4), the arch depth continued to decrease significantly. the overall (t1-t4) change in arch depth was 1.30 mm. for the mixed group, the largest increase in arch width from t1 to t2 was at the first premolars (5.21 mm) and the smallest at the canines (2.39 mm). the t1-t3 increase was largest at the first premolars (5.71 mm) and smallest at the canines (2.40 mm). from t3 to t4, the arch width decreased for all teeth. the decreases were insignificant for the canines (0.42 mm) and first molars (0.68 mm) but significant for the first (1.25 mm) and second premolars (1.49 mm).","{'answer_start': [145], 'text': ['the first premolars']}",,clinical,"{'authors': ['Michael Joseph Solomon', 'Jeryl D. English', 'W. Bonham Magness', 'Chris John McKee'], 'doi': 'https://doi.org/10.1043/0003-3219(2006)076[0036:LSOLBT]2.0.CO;2', 'meta': 'Angle Orthod (2006) 76 (1): 36–42.', 'title': 'Long-Term Stability of Lip Bumper Therapy Followed by Fixed Appliances'}",e21107c6-8ada-4a6c-973e-354b6cb86281
what is the effect of pacifier and finger sucking habits lasting more than 24 months on the prevalence of crossbites?,"in children with nonnutritive sucking habits and those with prolonged bottle feeding, the different involvement of orofacial muscles and different impact on the palate are presumably responsible for the poor alignment of teeth and the anomalous transverse growth of the palateconditions that lead to posterior crossbite. the nonnutritive sucking habit also seems to be one of the most important factors influencing malocclusion, regardless of whether a child has ds or not. a brazilian study involving 330 four-year-old children observed anterior open bite and posterior crossbite in children with nonnutritive sucking habits, regardless of the duration of the habit. children with pacifier sucking habits lasting for more than 24 months and finger sucking habits had an approximately threefold increased prevalence of anterior and posterior crossbite, which is in agreement with the findings of previous studies. such results stress the influence of external factors on the genetic trait of ds in the etiology of these malocclusions. a number of studies point out that individuals with ds are more prone to anterior/posterior crossbite owing to the combination of clinical aspects of the syndrome (small midface, protrusive tongue, and high palate). nonetheless, the influence of extrinsic factors, such as nonnutritive sucking habits, cannot be ignored. the duration of thumb sucking habits was not analyzed in the present study, as there was a report of only one child with a thumb sucking habit for fewer than 24 months. thus, only the presence or absence of this habit was considered. in a longitudinal study carried out in the united states with 372 normal children with primary teeth, an increase in the prevalence of anterior open bite and posterior crossbite was found among those children with nonnutritive sucking habits lasting until 24 or more months of age. however, when these children continued the habit to 48 months of age, the prevalence of these types of malocclusion was even higher. anterior open bite is often spontaneously corrected in individuals who abandon a finger sucking habit before the pubertal growth spurt.","{'answer_start': [768], 'text': ['an approximately threefold increased prevalence of anterior and posterior crossbite']}",,pathology,"{'authors': ['Ana Cristina Oliveira', 'Isabela Almeida Pordeus', 'Cintia Silva Torres', 'Milene Torres Martins', 'Saul Martins Paiva'], 'doi': 'https://doi.org/10.2319/072709-421.1', 'meta': 'Angle Orthod (2010) 80 (4): 748–753.', 'title': 'Feeding and nonnutritive sucking habits and prevalence of open bite and crossbite in children/adolescents with Down syndrome'}",ce3b1ba0-1559-4d3c-b985-278146cb3309
